Date,Open,High,Low,Close,Volume,Adj Close
8/1/2016,39.23,39.48,39.02,39.450001,2288500,39.450001
7/29/2016,39.049999,39.599998,39.040001,39.23,4797000,39.23
7/28/2016,38.689999,39.18,38.369999,39.02,3293000,39.02
7/27/2016,38.790001,38.860001,38.32,38.669998,2775800,38.669998
7/26/2016,38.880001,38.98,38.619999,38.82,3162400,38.82
7/25/2016,38.900002,39.080002,38.599998,39.080002,2766800,39.080002
7/22/2016,38.459999,39,38.380001,38.900002,2600300,38.900002
7/21/2016,38.23,38.709999,38.09,38.549999,3169100,38.549999
7/20/2016,38.080002,38.34,37.849998,38.34,3472600,38.34
7/19/2016,37.5,38.169998,37.330002,38.130001,2919100,38.130001
7/18/2016,37.470001,37.599998,37.169998,37.369999,2799500,37.369999
7/15/2016,36.970001,37.5,36.779999,37.43,3757200,37.43
7/14/2016,37.279999,37.34,36.66,36.950001,2530200,36.950001
7/13/2016,37.139999,37.43,36.630001,37.43,3416800,37.43
7/12/2016,36.59,37.299999,36.439999,37.029999,5675500,37.029999
7/11/2016,36,36.66,35.790001,36.540001,4078600,36.540001
7/8/2016,35.380001,35.939999,34.990002,35.939999,4030100,35.939999
7/7/2016,35.419998,35.5,34.560001,34.880001,3554000,34.880001
7/6/2016,35.619999,35.77,35.119999,35.529999,2768500,35.529999
7/5/2016,35.299999,35.740002,35.209999,35.73,3400000,35.73
